UP_KEY;UP_DESC;UP_ALLOW_NEG;UP_IS_INT;UP_LIM_MIN;UP_LIM_MAX;UP_CAPTION;UP_LONGDESC;UP_TYPE;UP_PICTURE;UP_IS_WMF
NSEG;Broj segmenata;;1;0;3;0-Bez/1/2/3/-;;0;;
IV;Izrez - visina;0;0;;;;;0;System.Byte[];1
PRGOD;Pregrada - odmak donji;;;;;;;0;System.Byte[];1
OGVI;Ograda - visina ispod;;;;;;;0;System.Byte[];1
KUTP;Kut - pozitivni;;;;;;;0;System.Byte[];1
LPREK;Leđa - preklop;;;;;Ne/Da;;0;;
BBS;Blenda bočna - strana;0;0;;;Ne/Lijeva/Desna/Obje;;0;;0
LPUN;Leđa - puna;;1;;;Lijeva/Desna/Oboja/Kutna;;0;;
POMD;Pomak po duljini;1;;;;;;0;;
POMS;Pomak po širini;1;;;;;;0;;
TROK;Trokut - vrsta;0;0;;;AAA/ABB;AAA = istostranični, ABB = istokračni;0;System.Byte[];0
ZRB;Zrak bočno;1;;;;;;0;System.Byte[];0
ODM_6;Odmak 6;;;;;;;0;;
ODM_7;Odmak 7;;;;;;;0;;
NIZ;Položaj u nizu;;0;;;Sam/Krajnji L/Krajnji D/Srednji;;0;;
UKL2D;Uklada 2 - duljina;;;;;;0 = Nema druge uklade; >0 = vidljiva širina uklade;0;System.Byte[];0
LSTD;Letvica za staklo - debljina;;;;;;;0;System.Byte[];0
LSTS;Letvica za staklo - širina;;;;;;;0;System.Byte[];0
ZRVK;Zrak između - kanal;;;;;;;0;System.Byte[];1
PRR;Ladice - raspored;;1;;;AA/AB/AAB/ABB;;0;System.Byte[];1
OKVS;Okvir - širina;;;;;;;0;System.Byte[];0
OKVSV;Okvir - širina veza;;;;;;;0;System.Byte[];0
LDO;Lijevo / desno otvaranje;;1;;;Lijevo/Desno/Lijevo-Desno;;0;System.Byte[];0
RUBKL;Rub kosi leđa;;;;;Ne/Da;;0;System.Byte[];1
RZL;Radius zaokruženja leđa;;;;;;;0;System.Byte[];1
ODPLS;Odmak punih leđa straga;;;;;;;0;System.Byte[];0
SYSY;Odmak sinhro osovine po Y;0;0;;;;;0;;0
UTP;Utor - produljenje;;;;;;;0;System.Byte[];1
SYSZ;Odmak sinhro osovine po Z;0;0;;;;;0;;0
ZH;Zrak leđa;;;;;;;0;System.Byte[];1
TTY;Tandem tip;0;0;;;Tandem/Movento;0-tandem, 1-movento;0;;0
PERO;Pero u utor;;1;;;Ne/Jednostrano/Dvostrano;;0;System.Byte[];0
UTC;Utor - čelo ladice;;;;;Ne/Da;;0;System.Byte[];1
GLOD;Glodalo - promjer;;;;;;;0;System.Byte[];1
LD2;Strana: lijeva/desna/obje;;;;;Lijeva/Desna/Obje;;0;;
ODMS;Odmak sprijeda;1;;;;;;0;System.Byte[];0
GLOR;Glodalo - polumjer;;;;;;;0;System.Byte[];1
ODMLD;Odmak leđa desnih;;;;;;;0;;
ODMLL;Odmak leđa lijevih;;;;;;;0;;
ISS;Izrez sifona - širina;;;;;;;0;System.Byte[];1
ISD;Izrez sifona - dubina;;;;;;;0;System.Byte[];1
ISOS;Izrez sifona - odmak po širini;1;;;;;;0;System.Byte[];1
KKUT;Korpus kutni;;;;;45+dubina L/45+dubina D/Dubina L i D;;0;System.Byte[];1
ISTS;Izrez sifona - tip spoja;;;;;Tupo/Ger;;0;System.Byte[];1
HPP;Leđa puna - položaj;;;;;Lijeva/Desna/Oboja/Kutna/Nijedna/Zaobljena;;0;System.Byte[];1
VRK;Vrata - krila;;;;;1/2;;0;System.Byte[];1
RPSL;Radna ploča - širina lijevo;;;;;;;0;System.Byte[];1
RPSD;Radna ploča - širina desno;;;;;;;0;System.Byte[];1
RPGS;Radna ploča dodatna - proširenje;;;;;;;0;System.Byte[];1
RPTS;Radna ploča -  tip spoja;;;;;Bočni/Prednji/Ger;;0;System.Byte[];1
RPOBL;Radna ploča - oblik;;;;;I/L/D/U;;0;System.Byte[];1
RPDK;Radna ploča - duljina kraka;;;;;;;0;System.Byte[];1
PKUT;Ploča kutna;;;;;45+širina L/45+širina D/Širina L i D;;0;System.Byte[];1
UTD;Utor - duljina;;;;;;;0;;
RPVD;Radna ploča - veznik duljina;;;;;;;0;System.Byte[];1
UKL2L;Uklada 2 - duljina;;0;;;;0 = Nema druge i ostalih uklada; 1-100 = Izračun duljine uklade; >100 = Vidljiva duljina uklade;0;;
UKL3L;Uklada 3 - duljina;;0;;;;0 = Nema treće i ostalih uklada; 1-100 = Izračun duljine uklade; >100 = Vidljiva duljina uklade;0;;
UKL4L;Uklada 4 - duljina;;0;;;;0 = Nema četvrte i ostalih uklada; 1-100 = Izračun duljine uklade; >100 = Vidljiva duljina uklade;0;;
UKL5L;Uklada 5 - duljina;;0;;;;0 = Nema pete uklade; 1-100 = Izračun duljine uklade; >100 = Vidljiva duljina uklade;0;;
UKL1M;Uklada 1 -materijal;;0;;;Puna/Staklo/Zrcalo;;0;;
UKL2M;Uklada 2 - materijal;;0;;;Puna/Staklo/Zrcalo;;0;;
UKL3M;Uklada 3 - materijal;;0;;;Puna/Staklo/Zrcalo;;0;;
