MAT_KEY;MAT_KEY2;MAT_DESC;MAT_DESC2;MAT_DESCS;MAT_MANUF_KEY;MAT_THICK;MAT_COL;MAT_COL2;MAT_LAYER;MAT_GROUP;MAT_ART1;MAT_ART2;MAT_ART3;MAT_ART4;MAT_ART5;MAT_W_UN;MAT_O_UN;MAT_ROT;MAT_WEIGHT;MAT_W_PRICE;MAT_BM_L;MAT_BM_W;MAT_BM_T;MAT_ED_L;MAT_ED_W;MAT_ED_T;MAT_ED_M;MAT_MEMO;MAT_DRILL;MAT_DATE;MAT_MC_MAT;MAT_MC_MAT_NO_EDGE;MAT_MR_MAT;MAT_MP_MAT;MAT_MATHATCH;MAT_DECORE;MAT_LEVEL1;MAT_LEVEL2;MAT_LEVEL3;MAT_LEVEL_ABAND;MAT_LEVEL_TMP;MAT_CUSTOM01;MAT_CUSTOM02;MAT_CUSTOM03;MAT_CUSTOM04;MAT_CUSTOM05;MAT_CUSTOM06;MAT_CUSTOM07;MAT_CUSTOM08;MAT_CUSTOM09;MAT_CUSTOM10;MAT_NO_ORDER;MAT_ID;MAT_F_LEN;MAT_F_WID;MAT_F_THK;MAT_FACT;MAT_REST;MAT_MAC;MAT_ROUTER_GROUP;MAT_IMAGE_ID;MAT_ROUTER_DATA;MAT_COL_RAL;MAT_COL_NCS
5STAKLO_BRONZ-04;;STAKLO BRONZ 4 mm;;;;4;-13904427;-16777216;4026531840;4026531840;5;;;;;M2;M2;1;0;0;0;0;0;0;0;0;0;System.Byte[];0;18.3.2026. 0:00:00;Staklo;;Mliječno staklo;;;;1;0;0;0;1;;;;;;;;;;;0;8237;0;0;0;1;0;;;;;;
5STAKLO_SIVO-04;;STAKLO SIVO 4 mm;;;;4;-13904427;-16777216;4026531840;4026531840;5;;;;;M2;M2;1;0;0;0;0;0;0;0;0;0;System.Byte[];0;9.2.2026. 0:00:00;Staklo;;Mliječno staklo;;;;1;0;0;0;1;;;;;;;;;;;0;8238;0;0;0;1;0;;;;;;
5ZRCALO-04;;ZRCALO 4 mm;;;;4;-13904427;-16777216;4026531840;4026531840;5;;;;;M2;M2;1;0;50;0;0;0;0;0;0;0;System.Byte[];0;12.5.2026. 0:00:00;Staklo-dimljeno;;;;;;1;0;0;0;1;;;;;;;;;;;0;8239;0;0;0;1;0;;;;;;
5ZRCALO_BRONZ-04;;ZRCALO BRONZ 4 mm;;;;4;-13904427;-16777216;4026531840;4026531840;5;;;;;M2;M2;1;0;50;0;0;0;0;0;0;0;System.Byte[];0;14.4.2026. 0:00:00;Staklo-dimljeno;;;;;;1;0;0;0;1;;;;;;;;;;;0;8240;0;0;0;1;0;;;;;;
5ZRCALO_SIVO-04;;ZRCALO SIVO 4 mm;;;;4;-13904427;-16777216;4026531840;4026531840;5;;;;;M2;M2;1;0;50;0;0;0;0;0;0;0;System.Byte[];0;3.6.2025. 0:00:00;Staklo-dimljeno;;;;;;1;0;0;0;0;;;;;;;;;;;0;8241;0;0;0;1;0;;;;;;
1MDF_GD_16;;MDF GRUND DDL 16 mm 2800x1840;;;;16;-32768;-32768;4026531840;4026531840;1;193;253;;;M2;M2;1;0;37;0;0;0;0;0;0;0;System.Byte[];0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;8242;2800;1840;16;1;0;;;;;;
BL_970.1201;;BLUMOTION RAVNI 970.1201 SIVI;;;3142003;0;0;0;4026531840;4026531840;7;0;0;0;0;KOM;KOM;1;0,006;0;0;0;0;0;0;0;0;System.Byte[];8;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;3209;0;0;0;1;0;Okov\Blum\Panti\Blumotion\970.1201.mac;;80;;;
BL_770M4502S_CS;;LEGRABOX M 450 mm 770M4502S CS;;;2298848;0;-15067368;0;4026531840;4026531840;7;0;0;0;0;PAR;PAR;1;1,648;14;0;0;0;0;0;0;0;System.Byte[];0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;7297;0;0;0;1;0;Okov\Blum\Vodilice\LegraBox\770M4502S.MAC;;;;;
BL_970.1501;;BLUMOTION KRIŽNI 970.1501 SIVI;;;3140813;0;0;0;4026531840;4026531840;7;0;0;0;0;KOM;KOM;1;0,006;0;0;0;0;0;0;0;0;System.Byte[];8;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;3210;0;0;0;1;0;Okov\Blum\Panti\Blumotion\970.1501.mac;;81;;;
BL_770M5002S_CS;;LEGRABOX M 500 mm 770M5002S CS;;;3455919;0;-15067368;0;4026531840;4026531840;7;0;0;0;0;PAR;PAR;1;1,789;14;0;0;0;0;0;0;0;System.Byte[];0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;7298;0;0;0;1;0;Okov\Blum\Vodilice\LegraBox\770M5002S.MAC;;;;;
BL_970.1701;;BLUMOTION KRIŽNI 970.1701 SIVI;;;4881103;0;0;0;4026531840;4026531840;7;0;0;0;0;KOM;KOM;1;0,007;0;0;0;0;0;0;0;0;System.Byte[];8;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;3211;0;0;0;1;0;Okov\Blum\Panti\Blumotion\970.1701.mac;;82;;;
CL_PIOM_HM12_A1043;;ABS PIOM_HM12 1/43 mm ;;PIOM_HM12 1;;1;0;-16776961;4026531840;4026531840;4;93;99;0;0;M1;M1;1;0;0;0;0;0;70;0;0;0;;0;9.6.2026. 0:00:00;;;;;;PIOM_HM12;0;0;1;0;0;;;;;;;;;;;0;12956;0;43;1;1;10;;;;;;
CL_PIOM_HM13_A1023;;ABS PIOM_HM13 1/23 mm ;;PIOM_HM13 1;;1;0;-16776961;4026531840;4026531840;4;93;99;0;0;M1;M1;1;0;0;0;0;0;70;0;0;0;;0;9.6.2026. 0:00:00;;;;;;PIOM_HM13;0;0;1;0;0;;;;;;;;;;;0;12957;0;23;1;1;10;;;;;;
BL_970.2501;;BLUMOTION KRIŽNI 970.2501 SIVI;;;2713903;0;0;0;4026531840;4026531840;7;0;0;0;0;KOM;KOM;1;0,008;0;0;0;0;0;0;0;0;System.Byte[];8;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;3212;0;0;0;1;0;Okov\Blum\Panti\Blumotion\970.2501.mac;;83;;;
CL_PIOM_HM13_A1043;;ABS PIOM_HM13 1/43 mm ;;PIOM_HM13 1;;1;0;-16776961;4026531840;4026531840;4;93;99;0;0;M1;M1;1;0;0;0;0;0;70;0;0;0;;0;9.6.2026. 0:00:00;;;;;;PIOM_HM13;0;0;1;0;0;;;;;;;;;;;0;12958;0;43;1;1;10;;;;;;
CL_PRIM_FB12_A1023;;ABS PRIM_FB12 1/23 mm ;;PRIM_FB12 1;;1;0;-16776961;4026531840;4026531840;4;93;99;0;0;M1;M1;1;0;0;0;0;0;70;0;0;0;;0;9.6.2026. 0:00:00;;;;;;PRIM_FB12;0;0;1;0;0;;;;;;;;;;;0;12959;0;23;1;1;10;;;;;;
CL_PRIM_FB12_A1043;;ABS PRIM_FB12 1/43 mm ;;PRIM_FB12 1;;1;0;-16776961;4026531840;4026531840;4;93;99;0;0;M1;M1;1;0;0;0;0;0;70;0;0;0;;0;9.6.2026. 0:00:00;;;;;;PRIM_FB12;0;0;1;0;0;;;;;;;;;;;0;12960;0;43;1;1;10;;;;;;
BL_970A1002;;BLUMOTION NA STRANI PANTI 970A1002 SIVI;;;6823230;0;0;0;4026531840;4026531840;7;0;0;0;0;KOM;KOM;1;0,007;0;0;0;0;0;0;0;0;System.Byte[];8;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;3218;0;0;0;1;0;Okov\Blum\Panti\Blumotion\970a.mac;;88;;;
BL_971A0200;;BLUMOTION ZA VRATA 20/32mm NI 971A0200;;;6966933;0;0;0;4026531840;4026531840;7;0;0;0;0;KOM;KOM;1;0,01;0;0;0;0;0;0;0;0;;0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;3219;0;0;0;1;0;;;;;;
BL_971A2500;;BLUMOTION ZA VRATA 37/32mm NI 971A2500;;;6823743;0;0;0;4026531840;4026531840;7;0;0;0;0;KOM;KOM;1;0,088;0;0;0;0;0;0;0;0;;0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;3220;0;0;0;1;0;;;;;;
BL_973A0500;;BLUMOTION CLIP-ON CLIP RAVNI 973A0500;;;7196933;0;0;0;4026531840;4026531840;7;0;0;0;0;KOM;KOM;1;0,003;0;0;0;0;0;0;0;0;;0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;3221;0;0;0;1;0;;;;;;
BL_973A0600;;BLUMOTION CLIP-ON CLIP POLUKRIVI 973A0600;;;7087703;0;0;0;4026531840;4026531840;7;0;0;0;0;KOM;KOM;1;0,04;0;0;0;0;0;0;0;0;System.Byte[];0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;3222;0;0;0;1;0;;;;;;
BL_973A0700;;BLUMOTION ZA VRATA KRIVI 973A0700;;;7087993;0;0;0;4026531840;4026531840;7;0;0;0;0;KOM;KOM;1;0,008;0;0;0;0;0;0;0;0;;0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;3223;0;0;0;1;0;;;;;;
BL_973A6000;;BLUMOTION ZA VRATA 170" 973A6000;;;7085783;0;0;0;4026531840;4026531840;7;0;0;0;0;KOM;KOM;1;0,008;0;0;0;0;0;0;0;0;;0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;3224;0;0;0;1;0;;;;;;
BL_973A7000;;BLUMOTION CLIP-ON CLIP 155°' 973A7000;;;8975873;0;0;0;4026531840;4026531840;7;0;0;0;0;KOM;KOM;1;0,008;0;0;0;0;0;0;0;0;System.Byte[];0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;3225;0;0;0;1;0;;;;;;
BL_973A7360;;BLUMOTION CLIP-ON CLIP 30" II 973A7360;;;7072533;0;0;0;4026531840;4026531840;7;0;0;0;0;KOM;KOM;1;0,023;0;0;0;0;0;0;0;0;;0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;3226;0;0;0;1;0;;;;;;
